macho_id,original,predicted,trust
80.6708.5218,Be Stars,Be Stars,1
48.2742.1409,Be Stars,Be Stars,1
53.3970.353,Be Stars,Be Stars,1
14.8863.660,Be Stars,Be Stars,1
11.8751.968,Be Stars,Quasar,1
212.16076.102,Be Stars,Be Stars,1
7.8387.210,Be Stars,Be Stars,1
1.4410.291,Be Stars,Be Stars,1
12.10684.267,Be Stars,Quasar,1
12.10926.76,Be Stars,Be Stars,1
22.5472.116,Be Stars,Be Stars,1
7.8511.2358,Be Stars,Be Stars,1
208.15912.448,Be Stars,MicroLensing,1
17.2102.357,Be Stars,Be Stars,1
13.6931.2479,Be Stars,Be Stars,1
78.6827.881,Be Stars,Quasar,1
24.2740.150,Be Stars,Be Stars,1
207.16370.107,Be Stars,Long Periodic Variable,1
212.15851.175,Be Stars,Be Stars,1
14.9587.87,Be Stars,Be Stars,1
1.4413.373,Be Stars,None Variable,1
213.15620.158,Be Stars,Be Stars,1
24.2741.38,Be Stars,Be Stars,1
81.9361.377,Be Stars,Quasar,1
211.16419.222,Be Stars,Be Stars,1
1.4530.136,Be Stars,Be Stars,1
7.7180.314,Be Stars,Be Stars,1
10.4279.1493,Be Stars,Be Stars,1
17.2109.108,Be Stars,Be Stars,1
17.2469.222,Be Stars,Be Stars,1
7.7662.182,Be Stars,Be Stars,1
62.6749.2315,Be Stars,Be Stars,1
1.3562.12,Cepheid,Cepheid,1
1.3683.25,Cepheid,Cepheid,1
2.5751.44,Cepheid,Cepheid,1
1.4294.36,Cepheid,Cepheid,1
1.3686.7,Cepheid,Cepheid,1
2.4662.12,Cepheid,Cepheid,1
1.4415.55,Cepheid,Cepheid,1
1.4296.70,Cepheid,Cepheid,1
1.4417.13,Cepheid,Cepheid,1
1.3451.9,Cepheid,Cepheid,1
1.4049.1534,Cepheid,Cepheid,1
1.4657.37,Cepheid,Cepheid,1
1.3809.938,Cepheid,Cepheid,1
1.4052.55,Cepheid,Cepheid,1
2.4790.48,Cepheid,Cepheid,1
1.4171.24,Cepheid,Cepheid,1
1.3927.58,Cepheid,Cepheid,1
1.3570.32,Cepheid,Cepheid,1
